targeting type,targeting value,counts
locations,turkey,1097
platforms,ios,687
age,18 and up,662
languages,english,647
keywords,netflix,456
locations,egypt,411
keywords,investing,373
conversation topics,business & finance,345
keywords,cinema,324
conversation topics,business news,323
conversation topics,world news,321
conversation topics,political news,320
languages,arabic,284
keywords,disney,284
keywords,and just like that,284
list,aiq_271882_0_1,228
follower look-alikes,@solana,215
interests,comedy,203
interests,sci-fi and fantasy,192
keywords,youtube,185
keywords,money,181
interests,technology,179
keywords,drama,179
keywords,apple,178
keywords,invest,175
keywords,music,172
keywords,cinemas,168
keywords,credit,168
keywords,saving,166
os versions,ios 10.0 and above,162
app activity,install evony ios all,158
conversation topics,entertainment,151
keywords,people,145
keywords,video,144
keywords,new shows,142
keywords,netflix's,142
keywords,the last of us 2,142
keywords,the night of,142
keywords,theater,142
keywords,theaters,142
keywords,got,142
keywords,disneys,142
keywords,disney's,142
keywords,hollywood,142
keywords,the last of us part 1,142
os versions,ios 11.4 and above,142
app activity,purchase osn+ ios all,142
conversation topics,entertainment news,141
conversation topics,rock,140
conversation topics,rap,140
conversation topics,pop,140
conversation topics,horror films,139
movies and tv shows,movie - indiana jones,139
conversation topics,b2b,139
conversation topics,world music,139
conversation topics,energy,139
movies and tv shows,barry,139
conversation topics,transportation,139
conversation topics,dining,139
movies and tv shows,the idol,139
conversation topics,fashion brand,139
movies and tv shows,the last of us,139
conversation topics,cpg,139
conversation topics,comedy films,139
conversation topics,alternative rock,139
conversation topics,biographies and memoirs,139
conversation topics,r&b and soul,139
conversation topics,retail industry,139
conversation topics,google ,139
interests,animation,137
conversation topics,government/education,129
list,adjust - app install no signup - mar'23,128
locations,i̇stanbul,127
conversation topics,k-pop,125
interests,tech news,117
follower look-alikes,@binance,111
movies and tv shows,succession,111
conversation topics,sports news,111
interests,movie news and general info,109
interests,books news and general info,108
interests,arts and crafts,102
interests,music,102
interests,photography,101
interests,foreign,100
unknown,unknown: 1,98
interests,celebrity fan and gossip,97
interests,entertainment awards,96
interests,entertaining at home,96
keywords,gaming,95
app activity combination,purchase osn+ ios all,95
app activity combination,stream app purchase - 90 days retention,95
interests,freelance writing,95
interests,drawing and sketching,95
age,18 to 54,94
interests,design,94
interests,painting,94
interests,music news and general info,94
interests,romance,92
interests,mystery and crime,92
