date,likes per day
2023-08-26,1760
2022-05-29,499
2023-09-18,346
2022-04-27,188
2022-06-11,174
2023-07-29,159
2023-08-29,140
2023-10-28,132
2023-05-05,126
2023-09-30,126
2023-08-06,123
2023-08-30,119
2023-08-27,110
2023-08-02,109
2023-10-10,109
2023-06-26,108
2022-05-31,107
2023-10-24,102
2023-09-07,102
2023-08-25,102
2023-08-12,98
2023-10-14,89
2023-08-08,83
2023-10-12,83
2023-08-28,77
2023-01-24,76
2023-01-29,76
2023-10-15,73
2023-08-04,73
2023-01-26,72
2023-10-11,72
2023-07-26,68
2023-09-15,68
2023-07-24,68
2023-08-09,67
2022-04-25,67
2023-08-17,66
2023-07-25,66
2023-07-04,64
2023-01-25,64
2023-10-18,64
2023-08-31,63
2023-06-04,63
2023-08-16,63
2022-09-08,62
2023-10-21,61
2023-07-31,61
2023-08-22,61
2023-10-13,60
2023-09-03,60
2023-10-06,60
2023-06-05,59
2023-01-10,59
2023-07-19,59
2022-05-28,59
2023-10-31,58
2023-07-18,57
2023-10-27,57
2022-12-05,56
2023-01-17,55
2023-01-18,55
2022-11-12,55
2023-09-16,55
2022-05-20,54
2023-06-06,53
2022-05-06,53
2022-05-19,53
2023-07-22,53
2023-08-11,52
2022-05-23,52
2023-07-30,52
2023-01-22,51
2023-01-01,51
2023-09-02,51
2022-12-12,51
2022-04-26,50
2023-09-27,50
2023-10-22,50
2023-03-26,50
2022-12-17,50
2022-04-28,49
2023-06-27,48
2022-05-04,48
2022-11-21,48
2023-02-02,47
2023-10-30,47
2023-10-25,47
2022-12-02,47
2023-07-03,46
2023-07-21,46
2023-08-23,46
2023-01-19,46
2023-10-08,46
2023-05-04,45
2023-08-10,45
2022-11-30,45
2023-03-25,44
2023-06-07,44
2022-05-12,44
2021-04-03,44
2022-09-28,44
2023-08-14,44
2023-06-08,44
2023-01-16,43
2022-06-24,43
2023-05-29,43
2022-04-30,43
2022-09-18,42
2021-01-21,42
2023-10-20,42
2023-06-23,42
2023-06-28,41
2023-05-30,40
2023-09-28,40
2023-06-20,40
2022-11-23,39
2023-10-19,39
2023-10-16,39
2023-09-26,39
2022-11-17,38
2022-11-18,38
2022-05-30,38
2022-12-14,38
2023-01-20,38
2022-11-02,38
2023-06-10,37
2022-12-03,37
2023-07-23,37
2023-07-27,37
2023-06-02,37
2023-09-21,37
2022-11-19,37
2023-05-20,37
2022-06-12,36
2023-08-20,36
2022-05-02,36
2021-04-10,36
2023-10-23,35
2022-11-29,35
2022-10-27,35
2023-07-15,35
2023-02-19,34
2023-09-04,34
2023-08-07,33
2022-12-13,33
2022-10-30,33
2023-03-16,33
2023-08-01,33
2022-06-09,33
2023-08-19,33
2022-10-25,33
2023-10-02,32
2023-10-07,32
2023-04-21,32
2023-09-14,32
2023-08-24,32
2022-05-01,32
2023-05-06,32
2022-11-22,31
2022-10-15,31
2023-07-28,31
2023-09-23,31
2022-11-06,31
2023-10-09,30
2023-07-17,30
2023-07-07,30
2023-01-12,30
2023-09-06,30
2021-01-19,29
2023-04-05,29
2022-07-03,29
2023-10-26,29
2023-08-15,29
2023-06-09,28
2022-05-13,28
2022-05-17,28
2022-09-19,27
2023-09-12,27
2023-09-10,27
2023-10-17,27
2022-11-25,26
2023-07-06,26
2023-04-04,26
2022-10-12,26
2023-07-20,26
2023-01-04,26
2023-08-03,26
2023-09-24,26
2023-10-04,26
2023-09-09,25
2023-04-27,25
2023-08-21,25
2023-09-11,25
2022-05-18,25
2023-04-25,25
2023-07-10,25
2022-04-24,25
