targeting type,targeting value,date
follower look-alikes,@ign,2023-08-04 00:00:00
keywords,invest,2023-08-04 00:00:00
keywords,money,2023-08-04 00:00:00
keywords,investing,2023-08-04 00:00:00
keywords,credit,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@vitalikbuterin,2023-08-04 00:00:00
follower look-alikes,@solana,2023-08-04 00:00:00
follower look-alikes,@binance,2023-08-04 00:00:00
follower look-alikes,@coinbase,2023-08-04 00:00:00
keywords,investing,2023-08-04 00:00:00
follower look-alikes,@coinmarketcap,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
interests,technology,2023-08-04 00:00:00
interests,green solutions,2023-08-04 00:00:00
interests,tech news,2023-08-04 00:00:00
interests,animation,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@coinbase,2023-08-04 00:00:00
conversation topics,cryptocurrencies,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@ethereum,2023-08-04 00:00:00
age,13 to 24,2023-08-04 00:00:00
keywords,saving,2023-08-04 00:00:00
conversation topics,world news,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@solana,2023-08-04 00:00:00
follower look-alikes,@apompliano,2023-08-04 00:00:00
follower look-alikes,@binance,2023-08-04 00:00:00
follower look-alikes,@dogecoin,2023-08-04 00:00:00
follower look-alikes,@cryptocom,2023-08-04 00:00:00
follower look-alikes,@coinmarketcap,2023-08-04 00:00:00
keywords,airdrop,2023-08-04 00:00:00
keywords,investing,2023-08-04 00:00:00
conversation topics,political news,2023-08-04 00:00:00
keywords,bookies,2023-08-04 00:00:00
keywords,bets,2023-08-04 00:00:00
keywords,betting,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
languages,english,2023-08-04 00:00:00
age,18 and up,2023-08-04 00:00:00
list,aiq_271882_0_1,2023-08-04 00:00:00
conversation topics,business & finance,2023-08-04 00:00:00
conversation topics,business news,2023-08-04 00:00:00
conversation topics,tech news,2023-08-04 00:00:00
keywords,betting,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@cz_binance,2023-08-04 00:00:00
locations,i̇stanbul,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
follower look-alikes,@solana,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
age,13 to 24,2023-08-04 00:00:00
keywords,gaming,2023-08-04 00:00:00
conversation topics,political news,2023-08-04 00:00:00
conversation topics,world news,2023-08-04 00:00:00
conversation topics,tech news,2023-08-04 00:00:00
conversation topics,business news,2023-08-04 00:00:00
conversation topics,business & finance,2023-08-04 00:00:00
keywords,saving,2023-08-04 00:00:00
keywords,invest,2023-08-04 00:00:00
keywords,investing,2023-08-04 00:00:00
keywords,investing,2023-08-04 00:00:00
keywords,money,2023-08-04 00:00:00
list,aiq_271882_0_1,2023-08-04 00:00:00
platforms,ios,2023-08-04 00:00:00
keywords,news,2023-08-04 00:00:00
keywords,syria,2023-08-04 00:00:00
keywords,middle east,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
keywords,credit,2023-08-04 00:00:00
interests,technology,2023-08-04 00:00:00
keywords,mining,2023-08-04 00:00:00
interests,tech news,2023-08-04 00:00:00
interests,animation,2023-08-04 00:00:00
follower look-alikes,@coinbase,2023-08-04 00:00:00
locations,turkey,2023-08-04 00:00:00
age,18 and up,2023-08-04 00:00:00
languages,english,2023-08-04 00:00:00
interests,green solutions,2023-08-04 00:00:00
follower look-alikes,@solana,2023-08-05 00:00:00
follower look-alikes,@binance,2023-08-05 00:00:00
follower look-alikes,@dogecoin,2023-08-05 00:00:00
follower look-alikes,@cryptocom,2023-08-05 00:00:00
follower look-alikes,@coinmarketcap,2023-08-05 00:00:00
follower look-alikes,@cz_binance,2023-08-05 00:00:00
follower look-alikes,@apompliano,2023-08-05 00:00:00
follower look-alikes,@coinmarketcap,2023-08-05 00:00:00
locations,turkey,2023-08-05 00:00:00
