date,hour,counts
2021-01-21,23,26
2023-08-20,19,26
2021-04-07,8,23
2023-08-25,16,21
2021-01-19,9,19
2021-01-21,22,19
2022-11-21,17,18
2023-08-26,12,18
2023-07-29,8,17
2021-02-20,8,17
2023-07-04,19,17
2023-09-03,14,17
2022-12-01,6,17
2022-12-12,7,17
2021-04-11,16,17
2022-05-31,13,16
2022-05-06,17,16
2022-06-11,21,15
2022-10-30,21,15
2022-05-17,23,14
2023-09-13,10,14
2021-04-08,11,14
2023-09-14,22,14
2023-07-06,17,14
2022-12-17,12,14
2022-10-23,14,14
2023-09-05,22,14
2023-06-04,11,13
2023-08-26,21,13
2022-06-24,16,13
2022-04-27,23,13
2023-08-17,7,13
2020-12-26,9,13
2023-07-30,9,13
2023-01-19,13,13
2022-11-30,11,13
2021-03-13,16,13
2023-10-22,22,12
2023-08-10,16,12
2023-10-15,17,12
2023-01-17,17,12
2020-12-09,1,12
2021-03-26,19,12
2023-08-12,16,12
2023-08-20,17,12
2022-05-05,15,12
2021-03-23,10,12
2023-06-06,6,12
2021-02-15,1,12
2020-12-19,10,12
2021-04-08,21,11
2023-08-19,8,11
2022-04-24,14,11
2023-05-30,6,11
2021-04-11,22,11
2021-04-10,11,11
2023-07-20,16,11
2023-01-04,11,11
2022-11-06,18,11
2023-09-02,9,11
2021-04-10,10,11
2023-06-20,14,11
2023-07-24,11,11
2022-12-14,14,11
2022-05-05,14,11
2023-08-02,9,11
2021-03-10,21,11
2023-03-27,14,11
2023-10-01,16,11
2022-11-19,10,11
2022-04-26,15,11
2023-01-22,10,11
2020-10-30,19,11
2020-11-09,16,11
2023-06-26,18,10
2023-08-13,17,10
2023-06-19,18,10
2023-09-03,9,10
2023-03-25,8,10
2023-10-15,5,10
2023-07-26,20,10
2023-01-14,21,10
2023-01-01,16,10
2020-07-23,11,10
2022-04-28,21,10
2023-06-07,10,10
2022-04-25,13,10
2023-10-06,21,10
2023-01-09,13,10
2020-07-05,8,10
2022-05-20,19,10
2023-08-02,18,10
2023-08-12,14,10
2023-03-26,19,10
2023-08-23,6,10
2022-05-12,8,10
2023-01-11,13,10
2022-04-27,22,10
2023-08-22,20,10
2022-12-04,16,9
2022-05-12,12,9
2023-06-20,8,9
2023-01-10,14,9
2022-06-19,20,9
2022-12-05,6,9
2022-05-30,20,9
2022-11-13,16,9
2020-08-20,3,9
2022-06-12,7,9
2022-04-30,9,9
2023-01-14,14,9
2023-03-19,15,9
2022-04-30,17,9
2022-11-30,14,9
2022-05-19,19,9
2023-08-02,13,9
2021-02-17,15,9
2022-10-25,21,9
2023-01-26,16,9
2023-09-19,19,9
2023-08-12,9,9
2022-11-23,11,9
2023-08-07,20,9
2022-12-11,7,9
2023-07-03,12,9
2023-09-30,18,9
2023-08-29,9,9
2022-05-02,5,9
2023-01-16,19,9
2023-08-04,11,9
2023-08-25,12,9
2023-08-28,7,9
2022-07-03,20,9
2023-08-08,16,9
2023-06-08,8,9
2022-10-27,19,9
2022-11-19,7,9
2022-04-28,0,8
2023-01-16,13,8
2021-02-22,19,8
2020-11-05,10,8
2022-10-25,14,8
2021-04-03,20,8
2021-04-07,18,8
2022-11-02,8,8
2023-08-28,17,8
2023-08-08,15,8
2023-01-29,14,8
2023-10-26,19,8
2022-11-19,13,8
2022-10-30,15,8
2023-09-02,8,8
2023-06-05,18,8
2022-11-18,10,8
2023-08-04,13,8
2023-09-10,12,8
2023-08-29,14,8
2022-07-03,17,8
2020-07-18,10,8
2022-04-27,16,8
2023-08-29,8,8
2023-08-17,6,8
2020-08-26,18,8
2021-04-03,22,8
2022-05-30,16,8
2023-07-21,11,8
2023-09-26,8,8
2023-08-06,13,8
2021-04-06,16,8
2021-02-10,13,8
2022-06-15,12,8
2023-10-22,18,8
2023-09-18,10,8
2023-07-31,10,8
2023-08-12,3,8
2022-05-05,22,8
2022-11-29,17,8
2023-06-06,7,8
2023-10-30,15,8
2023-07-27,10,8
2022-09-19,18,8
2022-11-06,17,8
2023-08-31,19,8
2023-08-04,20,8
2023-08-06,19,8
2021-04-07,15,8
2020-09-15,17,8
2023-07-25,15,8
2023-08-22,13,8
2021-03-09,22,7
2021-03-23,12,7
2023-10-13,14,7
2023-08-28,15,7
2023-08-11,14,7
2022-12-25,6,7
