,date,tweets,retweets
0,2019-07-03,0,2
1,2019-07-06,0,1
2,2019-07-11,1,2
3,2019-07-13,0,1
4,2019-12-13,0,1
5,2019-12-31,0,1
6,2020-01-02,0,1
7,2020-01-06,0,1
8,2020-02-01,1,0
9,2020-02-03,0,1
10,2020-03-15,0,2
11,2020-03-21,1,0
12,2020-03-31,1,1
13,2020-04-02,0,3
14,2020-04-06,0,3
15,2020-04-10,0,1
16,2020-05-30,0,2
17,2020-06-01,0,5
18,2020-06-02,0,3
19,2020-06-04,1,0
20,2020-06-05,0,1
21,2020-06-06,0,1
22,2020-06-07,0,2
23,2020-06-08,2,5
24,2020-06-09,3,7
25,2020-06-11,1,4
26,2020-06-12,4,4
27,2020-06-13,2,13
28,2020-06-14,1,3
29,2020-06-15,2,7
30,2020-06-16,4,8
31,2020-06-17,0,3
32,2020-06-18,0,1
33,2020-06-19,0,1
34,2020-06-20,0,3
35,2020-06-22,0,1
36,2020-07-02,7,2
37,2020-07-03,4,12
38,2020-07-04,18,34
39,2020-07-05,36,49
40,2020-07-06,31,13
41,2020-07-07,8,6
42,2020-07-08,7,10
43,2020-07-09,21,11
44,2020-07-10,8,8
45,2020-07-11,11,11
46,2020-07-12,7,3
47,2020-07-13,0,3
48,2020-07-14,2,3
49,2020-07-15,1,3
50,2020-07-16,4,12
51,2020-07-17,4,11
52,2020-07-18,11,12
53,2020-07-19,4,7
54,2020-07-20,12,11
55,2020-07-21,7,13
56,2020-07-22,0,12
57,2020-07-23,11,6
58,2020-07-24,9,8
59,2020-07-25,4,6
60,2020-07-26,4,16
61,2020-07-27,4,18
62,2020-07-28,2,11
63,2020-07-29,0,5
64,2020-07-30,1,1
65,2020-07-31,0,1
66,2020-08-01,1,7
67,2020-08-03,0,3
68,2020-08-04,3,1
69,2020-08-05,0,1
70,2020-08-06,2,4
71,2020-08-07,4,3
72,2020-08-08,0,4
73,2020-08-09,1,6
74,2020-08-10,7,6
75,2020-08-11,2,6
76,2020-08-12,0,2
77,2020-08-13,0,4
78,2020-08-14,1,4
79,2020-08-15,0,2
80,2020-08-16,5,4
81,2020-08-17,2,3
82,2020-08-18,5,0
83,2020-08-19,5,2
84,2020-08-20,11,2
85,2020-08-21,6,1
86,2020-08-22,6,3
87,2020-08-24,3,1
88,2020-08-25,3,1
89,2020-08-26,11,3
90,2020-08-27,5,1
91,2020-08-28,11,1
92,2020-08-29,2,4
93,2020-08-30,2,4
94,2020-08-31,4,2
95,2020-09-01,2,0
96,2020-09-02,0,2
97,2020-09-03,1,3
98,2020-09-04,8,2
99,2020-09-05,1,2
