targeting value,counts
turkey,1099
ios,689
18 and up,662
english,647
netflix,467
egypt,412
investing,376
business & finance,345
cinema,324
business news,323
world news,321
political news,320
and just like that,284
arabic,284
disney,284
music,274
purchase osn+ ios all,237
aiq_271882_0_1,228
@solana,215
comedy,203
tech news,199
youtube,197
sci-fi and fantasy,192
money,182
technology,179
drama,179
apple,179
invest,175
cinemas,168
credit,168
saving,166
ios 10.0 and above,162
install evony ios all,158
biographies and memoirs,158
people,156
entertainment,151
video,146
energy,143
hollywood,142
theater,142
the night of,142
got,142
netflix's,142
theaters,142
new shows,142
the last of us 2,142
ios 11.4 and above,142
disney's,142
disneys,142
the last of us part 1,142
entertainment news,141
pop,141
rap,140
rock,140
horror films,139
google ,139
dining,139
the last of us,139
the idol,139
cpg,139
movie - indiana jones,139
b2b,139
comedy films,139
barry,139
transportation,139
retail industry,139
alternative rock,139
r&b and soul,139
world music,139
fashion brand,139
animation,137
government/education,129
adjust - app install no signup - mar'23,128
i̇stanbul,127
k-pop,125
@binance,111
sports news,111
succession,111
movie news and general info,109
books news and general info,108
cooking,106
arts and crafts,102
photography,101
design,100
foreign,100
unknown: 1,98
celebrity fan and gossip,97
entertainment awards,96
entertaining at home,96
gaming,95
freelance writing,95
drawing and sketching,95
stream app purchase - 90 days retention,95
18 to 54,94
painting,94
music news and general info,94
romance,92
mystery and crime,92
comics,91
screenwriting,91
foodie news and general info,90
music festivals and concerts,88
game,87
folk music,86
latin pop,86
games,85
alternative,85
world,84
venues,83
jazz,81
food inspiration,79
istanbul,77
ios 13.0 and above,76
@cz_binance,71
18 to 49,70
twitter,70
women,69
@coinmarketcap,68
euphoria,67
game of thrones,62
sci-fi & fantasy books,60
green solutions,56
fiction literature,56
elon musk,56
united states of america,53
@coinbase,52
beauty,51
politics,50
action & adventure films,47
science news,46
commentary,46
@ethereum,45
@fortnitegame,42
airdrop,40
@cryptocom,40
art,39
spotify,39
@alarabiya,37
@intel,36
@skynewsarabia,34
@ajarabic,33
exclude audience list20210218,33
exclude audience list,33
health news and general info,33
